customer_type	email	phone_number	street	city	state	postal_code	b_tax_id	business_name	b_first_name	b_last_name	title	i_tax_id	i_first_name	i_last_name
b		1772559234	700 2-street	New York	NY	97712	971509095	Nam-zim	Filiberto	Oldroyd	Senior Manager R8			
b		8260085925	4001 13-street	Cleveland	KS	78274	003992833	Ontomedia	Ettie	Fern	Researcher R5			
b		9670536160	9941 20-street	San Jose	CA	47357	621462808	Finhigh	Izetta	Hidvegi	Manager L2			
b	bstem@rundofase.com	4721650051	3502 17-street	Gilbert	LA	52923	006502052	Sunnamplex	Pete	Chickering	Associate Director R6			
b	ccartan@ganjaflex.com	9462400244	324 16-street	Reno	VA	69321	861158388	Rangreen	Mattie	Mondella	Associate Fellow M1			
b	cgabisi@donware.com	4971680691	476 5-street	Norfolk	NC	48363	406460369	Betatech	Lashon	Bowley	Researcher M3			
b	ckalafatis@groovestreet.com	8357046407	5010 2-street	Riverside	TX	38148	715402425	Scottech	Melissa	Lipke	Director R4			
b	csuffield@hottechi.com	6998516544	1999 21-street	Toledo	NC	57121	170197151	Codehow	Rozella	Morocco	Scientist M5			
b	dcoody@scotfind.com	5816060179	9101 18-street	Baltimore	OK	66069	480436640	Doncon	Brett	Sergi	Fellow L4			
b	deschberger@statholdings.com	5156905147	4698 6-street	Corpus Christi	KY	72436	291505280	Finjob	Vilma	Scheyer	Researcher R1			
b	dlother@donware.com	1152310216	6558 21-street	Fresno	CA	04838	216554083	Dontechi	Serina	Jeanty	Senior Manager R7			
b	dsteier@zumgoity.com	1712657598	6602 21-street	Anchorage	CA	32613	482042583	Y-corporation	Tegan	Blunk	Associate Manager R2			
b	edickerson@doncon.com	5360709407	4464 21-street	St. Petersburg	AZ	97269	798921658	Green-Plus	Ruthann	Demesa	Associate Fellow M9			
b	egrenet@warephase.com	5860954236	5460 11-street	Orlando	FL	03486	180557460	Finjob	Louisa	Barfield	Senior Scientist L2			
b	ekampa@cancity.com	1501547917	287 1-street	Plano	NV	97110	886885026	Treequote	Gilma	Gillaspie	Director M6			
b	ewieser@domzoom.com	6780912020	4020 8-street	St. Petersburg	AZ	15980	804908519	Plussunin	Samira	Bergesen	Director R3			
b	gcolla@labdrill.com	4718973627	1225 15-street	Cleveland	KS	51767	868715602	Betasoloin	Simona	Poquette	Researcher M7			
b	glary@kinnamplus.com	1868078927	373 16-street	Fremont	ID	23124	234661232	Xx-zobam	Tammara	Kaniecki	Executive Manager M6			
b	jcaiafa@ganjaflex.com	1381326307	292 14-street	Memphis	TN	59465	526591460	Groovestreet	Scarlet	Villanueva	Director L3			
b	jjurney@hatfan.com	2998736534	6534 19-street	Jacksonville	FL	29411	891541922	Betatech	Benton	Cryer	Researcher M8			
